#,stock,link,market,ISIN,profile,detailspresent,withinstudy,covidstudy,industry,subindustry,2019accounts,2021accounts,UsedForENG,YahooFinanceURL,checkvs2021yahoo
250,Homizy,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005468662.html?lang=it,Euronext Growth Milan - Segmento Professionale,IT0005468662,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005468662&lang=it,Y,NotCoveringPeriod,outofscope,na,na,,,,na,
251,I Grandi Viaggi,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005108219.html?lang=it,Euronext Milan,IT0005108219,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005108219&lang=it,Y,,N,Beni voluttuari,Viaggi e tempo libero,,,,https://finance.yahoo.com/quote/IGV.MI?p=IGV.MI&.tsrc=fin-srch,
252,I.M.D. International Medical Devices,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005549255.html?lang=it,Euronext Growth Milan,IT0005549255,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005549255&lang=it,Y,NotCoveringPeriod,outofscope,na,na,,,,https://finance.yahoo.com/quote/IMD.MI?p=IMD.MI&.tsrc=fin-srch,
253,Iberdrola,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/ES0144580Y14.html?lang=it,Global Equity Market,ES0144580Y14,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=ES0144580Y14&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/IBE.MC?p=IBE.MC&.tsrc=fin-srch,
254,Idntt,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/CH1118852594.html?lang=it,Euronext Growth Milan,CH1118852594,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=CH1118852594&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/IDNTT.MI?p=IDNTT.MI&.tsrc=fin-srch,
255,Iervolino & Lady Bacardi Entertainment,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005380602.html?lang=it,Euronext Growth Milan,IT0005380602,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005380602&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/IE.MI?p=IE.MI&.tsrc=fin-srch,
256,Igd,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005322612.html?lang=it,Euronext STAR Milan,IT0005322612,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005322612&lang=it,Y,,Y,Immobiliare,Immobiliare,EN,EN,Y,https://finance.yahoo.com/quote/IGD.MI?p=IGD.MI&.tsrc=fin-srch,included
257,Igeamed,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005429227.html?lang=it,Euronext Growth Milan - Segmento Professionale,IT0005429227,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005429227&lang=it,Y,,N,na,na,,,,na,
258,Il Sole 24 Ore,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005283111.html?lang=it,Euronext Milan,IT0005283111,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005283111&lang=it,Y,,Y,Beni voluttuari,Media,EN,EN,Y,https://finance.yahoo.com/quote/S24.MI?p=S24.MI&.tsrc=fin-srch,included
259,Illa,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005536559.html?lang=it,Euronext Growth Milan,IT0005536559,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005536559&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ILLA.MI?p=ILLA.MI&.tsrc=fin-srch,
